"table_schema","table_name","constraint_name","constraint_type","columns","references"
"public","chat_conversations","2200_221201_1_not_null","CHECK",,
"public","chat_conversations","2200_221201_2_not_null","CHECK",,
"public","chat_conversations","2200_221201_4_not_null","CHECK",,
"public","chat_conversations","2200_221201_5_not_null","CHECK",,
"public","chat_conversations","chat_conversations_user_id_fkey","FOREIGN KEY","user_id"," -> public.users(id)"
"public","chat_conversations","chat_conversations_pkey","PRIMARY KEY","id",
"public","chat_messages","2200_221217_1_not_null","CHECK",,
"public","chat_messages","2200_221217_2_not_null","CHECK",,
"public","chat_messages","2200_221217_4_not_null","CHECK",,
"public","chat_messages","2200_221217_5_not_null","CHECK",,
"public","chat_messages","2200_221217_6_not_null","CHECK",,
"public","chat_messages","2200_221217_7_not_null","CHECK",,
"public","chat_messages","2200_221217_8_not_null","CHECK",,
"public","chat_messages","chat_messages_role_check","CHECK",,
"public","chat_messages","chat_messages_conversation_id_fkey","FOREIGN KEY","conversation_id"," -> public.chat_conversations(id)"
"public","chat_messages","chat_messages_user_id_fkey","FOREIGN KEY","user_id"," -> public.users(id)"
"public","chat_messages","chat_messages_pkey","PRIMARY KEY","id",
"public","comment_votes","2200_180255_1_not_null","CHECK",,
"public","comment_votes","2200_180255_2_not_null","CHECK",,
"public","comment_votes","2200_180255_3_not_null","CHECK",,
"public","comment_votes","2200_180255_4_not_null","CHECK",,
"public","comment_votes","fk_comment_votes_comment","FOREIGN KEY","comment_id"," -> public.forum_comments(id)"
"public","comment_votes","fk_comment_votes_user","FOREIGN KEY","user_id"," -> public.users(id)"
"public","comment_votes","comment_votes_pkey","PRIMARY KEY","id",
"public","comment_votes","comment_votes_comment_id_user_id_key","UNIQUE","comment_id, comment_id, user_id, user_id",
"public","course_categories","2200_114688_1_not_null","CHECK",,
"public","course_categories","2200_114688_2_not_null","CHECK",,
"public","course_categories","2200_114688_3_not_null","CHECK",,
"public","course_categories","course_categories_pkey","PRIMARY KEY","id",
"public","course_categories","course_categories_name_key","UNIQUE","name",
"public","course_categories","course_categories_slug_key","UNIQUE","slug",
"public","course_category_junction","2200_114699_1_not_null","CHECK",,
"public","course_category_junction","2200_114699_2_not_null","CHECK",,
"public","course_category_junction","course_category_junction_category_id_fkey","FOREIGN KEY","category_id"," -> public.course_categories(id)"
"public","course_category_junction","course_category_junction_course_id_fkey","FOREIGN KEY","course_id"," -> public.courses(id)"
"public","course_category_junction","course_category_junction_pkey","PRIMARY KEY","course_id, course_id, category_id, category_id",
"public","course_planner","2200_147456_1_not_null","CHECK",,
"public","course_planner","2200_147456_2_not_null","CHECK",,
