"schemaname","tablename","indexname","indexdef"
"public","chat_conversations","chat_conversations_pkey","CREATE UNIQUE INDEX chat_conversations_pkey ON public.chat_conversations USING btree (id)"
"public","chat_conversations","idx_chat_conversations_user","CREATE INDEX idx_chat_conversations_user ON public.chat_conversations USING btree (user_id)"
"public","chat_messages","chat_messages_pkey","CREATE UNIQUE INDEX chat_messages_pkey ON public.chat_messages USING btree (id)"
"public","chat_messages","idx_chat_messages_conversation","CREATE INDEX idx_chat_messages_conversation ON public.chat_messages USING btree (conversation_id)"
"public","chat_messages","idx_chat_messages_user","CREATE INDEX idx_chat_messages_user ON public.chat_messages USING btree (user_id)"
"public","comment_votes","comment_votes_comment_id_user_id_key","CREATE UNIQUE INDEX comment_votes_comment_id_user_id_key ON public.comment_votes USING btree (comment_id, user_id)"
"public","comment_votes","comment_votes_pkey","CREATE UNIQUE INDEX comment_votes_pkey ON public.comment_votes USING btree (id)"
"public","course_categories","course_categories_name_key","CREATE UNIQUE INDEX course_categories_name_key ON public.course_categories USING btree (name)"
"public","course_categories","course_categories_pkey","CREATE UNIQUE INDEX course_categories_pkey ON public.course_categories USING btree (id)"
"public","course_categories","course_categories_slug_key","CREATE UNIQUE INDEX course_categories_slug_key ON public.course_categories USING btree (slug)"
"public","course_category_junction","course_category_junction_pkey","CREATE UNIQUE INDEX course_category_junction_pkey ON public.course_category_junction USING btree (course_id, category_id)"
"public","course_planner","course_planner_pkey","CREATE UNIQUE INDEX course_planner_pkey ON public.course_planner USING btree (id)"
"public","course_planner","unique_user_course_semester","CREATE UNIQUE INDEX unique_user_course_semester ON public.course_planner USING btree (user_id, course_id, semester, year)"
"public","course_reviews","course_reviews_pkey","CREATE UNIQUE INDEX course_reviews_pkey ON public.course_reviews USING btree (id)"
"public","course_reviews","idx_course_reviews_author","CREATE INDEX idx_course_reviews_author ON public.course_reviews USING btree (author_id)"
"public","course_reviews","idx_course_reviews_author_id","CREATE INDEX idx_course_reviews_author_id ON public.course_reviews USING btree (author_id)"
"public","course_reviews","idx_course_reviews_course","CREATE INDEX idx_course_reviews_course ON public.course_reviews USING btree (course_id)"
"public","course_reviews","idx_course_reviews_course_id","CREATE INDEX idx_course_reviews_course_id ON public.course_reviews USING btree (course_id)"
"public","course_schedules","course_schedules_pkey","CREATE UNIQUE INDEX course_schedules_pkey ON public.course_schedules USING btree (id)"
"public","course_special_requirements","course_special_requirements_pkey","CREATE UNIQUE INDEX course_special_requirements_pkey ON public.course_special_requirements USING btree (id)"
"public","course_special_requirements","idx_course_special_requirements_user_id","CREATE INDEX idx_course_special_requirements_user_id ON public.course_special_requirements USING btree (user_id)"
