"table_schema","table_name","table_type"
"public","chat_conversations","BASE TABLE"
"public","chat_messages","BASE TABLE"
"public","comment_votes","BASE TABLE"
"public","course_categories","BASE TABLE"
"public","course_category_junction","BASE TABLE"
"public","course_planner","BASE TABLE"
"public","course_reviews","BASE TABLE"
"public","course_schedules","BASE TABLE"
"public","course_special_requirements","BASE TABLE"
"public","courses","BASE TABLE"
"public","feedback","BASE TABLE"
"public","forum_categories","BASE TABLE"
"public","forum_comments","BASE TABLE"
"public","forum_likes","BASE TABLE"
"public","forum_notification_preferences","BASE TABLE"
"public","forum_post_tags","BASE TABLE"
"public","forum_posts","BASE TABLE"
"public","forum_saved","BASE TABLE"
"public","forum_views","BASE TABLE"
"public","marketplace_items","BASE TABLE"
"public","search_cache","BASE TABLE"
"public","search_costs","BASE TABLE"
"public","user_token_usage","BASE TABLE"
"public","users","BASE TABLE"
